sample_size,power,mcse,method,lower,upper,p_value_power,p_value_mcse,p_value_upper,p_value_lower
30,0.0492,0.0030587369942510585,Log_LR,0.04320498565308763,0.055195014346912374,0.0392,0.0027445713690847973,0.044579261036405984,0.03382073896359401
30,0.061200000000000004,0.003389824774232438,LR,0.05455606552860281,0.06784393447139721,0.0482,0.0030290843500965763,0.054136896232323206,0.04226310376767679
30,0.0546,0.003213062090903318,OLR,0.04830251402173854,0.060897485978261466,0.0546,0.003213062090903318,0.060897485978261466,0.04830251402173854
35,0.057,0.0032787497617232093,GLM_Gamma,0.05057376855270323,0.06342623144729677,0.0494,0.003064625262572897,0.05540655514075448,0.04339344485924552
35,0.0478,0.003017123133052412,GLM_Gaussian,0.041886547322294625,0.05371345267770538,0.0394,0.0027512775214434473,0.044792404853503776,0.03400759514649622
35,0.0618,0.0034053123204781086,Log_LR,0.05512571049575239,0.06847428950424761,0.0506,0.0030996657884359083,0.05667523330944533,0.04452476669055467
35,0.060000000000000005,0.003358571124749333,LR,0.05341732155597513,0.06658267844402488,0.0518,0.003134222710657301,0.05794296363241581,0.04565703636758419
35,0.055400000000000005,0.0032351457463304493,OLR,0.04905923085245437,0.061740769147545636,0.0554,0.0032351457463304493,0.06174076914754563,0.049059230852454366
40,0.0528,0.003162662169755094,GLM_Gamma,0.046601296052012714,0.058998703947987285,0.046,0.002962566454950842,0.051806523553510155,0.040193476446489844
40,0.048400000000000006,0.0030350433275325743,GLM_Gaussian,0.042451424386517556,0.054348575613482455,0.0402,0.00277791144567281,0.0456446063857603,0.034755393614239696
40,0.057800000000000004,0.003300277564084573,Log_LR,0.051331574835408664,0.06426842516459134,0.0496,0.0030704996336101396,0.055618068696419304,0.04358193130358069
40,0.058,0.003305631558416636,LR,0.051521081199344385,0.06447891880065562,0.051,0.003111237695837462,0.0570979138311848,0.04490208616881519
40,0.0538,0.0031907854832313627,OLR,0.0475461753704733,0.0600538246295267,0.0538,0.0031907854832313627,0.0600538246295267,0.0475461753704733
45,0.0548,0.003218600938296017,GLM_Gamma,0.04849165808033298,0.06110834191966702,0.0468,0.0029869636757081596,0.05265434122751737,0.04094565877248263
45,0.047400000000000005,0.003005103658777847,GLM_Gaussian,0.041510105058985884,0.053289894941014125,0.0418,0.002830291857741883,0.047347270106911046,0.03625272989308895
45,0.055200000000000006,0.003229642704696605,Log_LR,0.048870016615862134,0.06152998338413788,0.0468,0.0029869636757081596,0.05265434122751737,0.04094565877248263
45,0.056,0.003251584229264252,LR,0.04962701201794364,0.062372987982056365,0.0484,0.0030350433275325743,0.05434857561348245,0.04245142438651755
45,0.0572,0.0032841485959073167,OLR,0.05076318703214387,0.06363681296785613,0.0572,0.0032841485959073167,0.06363681296785613,0.05076318703214387
50,0.060000000000000005,0.003358571124749333,GLM_Gamma,0.05341732155597513,0.06658267844402488,0.0544,0.0032075111847038036,0.06068660640202885,0.04811339359797114
50,0.0534,0.0031795735563122296,GLM_Gaussian,0.047168150343432094,0.05963184965656791,0.0466,0.002980887116279313,0.05244243138988691,0.04075756861011309
50,0.0584,0.0033163063790910513,Log_LR,0.051900158935281104,0.0648998410647189,0.05,0.0030822070014844883,0.05604101471580679,0.04395898528419322
50,0.063,0.0034360151338432726,LR,0.05626553408733261,0.06973446591266738,0.0572,0.0032841485959073167,0.06363681296785613,0.05076318703214387
50,0.0606,0.003374244804396978,OLR,0.053986601708360525,0.06721339829163947,0.0606,0.003374244804396978,0.06721339829163947,0.053986601708360525
