sample_size,power,mcse,method,lower,upper,p_value_power
100,0.0512,0.002204054445788488,GLM_Gamma,0.04688013266628918,0.05551986733371082,0.048
100,0.0466,0.002107805493872715,GLM_Gaussian,0.04246877714559382,0.050731222854406184,0.0434
100,0.050100000000000006,0.002181513007066426,Log_LR,0.04582431307434414,0.05437568692565587,0.048
100,0.0519,0.0022182513383293607,LR,0.04755230726821668,0.05624769273178332,0.0485
100,0.047900000000000005,0.0021355465342623656,OLR,0.04371440570553644,0.05208559429446357,0.0479
105,0.054400000000000004,0.0022680529094357567,GLM_Gamma,0.049954697982474636,0.05884530201752537,0.0507
105,0.050100000000000006,0.002181513007066426,GLM_Gaussian,0.04582431307434414,0.05437568692565587,0.0479
105,0.053000000000000005,0.0022403347964087867,Log_LR,0.04860902448572691,0.0573909755142731,0.0495
105,0.054400000000000004,0.0022680529094357567,LR,0.049954697982474636,0.05884530201752537,0.0513
105,0.0534,0.0022482980229498045,OLR,0.04899341684850578,0.05780658315149423,0.0534
110,0.054,0.002260176984220484,GLM_Gamma,0.0495701345122415,0.0584298654877585,0.0519
110,0.0514,0.002208122279222779,GLM_Gaussian,0.04707215985926286,0.055727840140737145,0.0483
110,0.0512,0.002204054445788488,Log_LR,0.04688013266628918,0.05551986733371082,0.048
110,0.0545,0.0022700165197636775,LR,0.050050849376952235,0.058949150623047765,0.0519
110,0.0546,0.0022719779928511634,OLR,0.050147004960344126,0.05905299503965588,0.0546
115,0.055600000000000004,0.0022914763799786373,GLM_Gamma,0.051108788823817655,0.06009121117618235,0.0529
115,0.0528,0.002236339866835987,GLM_Gaussian,0.04841685440381037,0.05718314559618963,0.0501
115,0.052500000000000005,0.0022303306929690944,Log_LR,0.04812863216816632,0.05687136783183369,0.0493
115,0.0555,0.002289535979188796,LR,0.051012591939481315,0.059987408060518686,0.0535
115,0.054700000000000006,0.002273937334228892,OLR,0.05024316472181036,0.05915683527818965,0.0547
120,0.049,0.0021586801523152985,GLM_Gamma,0.04476906464732058,0.05323093535267942,0.0465
120,0.046200000000000005,0.002099179839842218,GLM_Gaussian,0.0420856831168367,0.05031431688316331,0.0444
120,0.053500000000000006,0.0022502833154960738,Log_LR,0.04908952574661632,0.05791047425338369,0.0519
120,0.0495,0.0021690954335851615,LR,0.045248651071142794,0.05375134892885721,0.0474
120,0.0483,0.0021439941697681923,OLR,0.044097848644190495,0.05250215135580951,0.0483
125,0.051300000000000005,0.002206089526741832,GLM_Gamma,0.046976143980915,0.05562385601908501,0.0481
125,0.0468,0.0021121022702511355,GLM_Gaussian,0.042660355618642495,0.05093964438135751,0.0453
125,0.052700000000000004,0.0022343390521583784,Log_LR,0.048320775928518224,0.057079224071481784,0.0505
125,0.051300000000000005,0.002206089526741832,LR,0.046976143980915,0.05562385601908501,0.0485
125,0.049800000000000004,0.00217531514958178,OLR,0.045536460651795355,0.05406353934820465,0.0498
130,0.0534,0.0022482980229498045,GLM_Gamma,0.04899341684850578,0.05780658315149423,0.0512
130,0.0507,0.00219384388687983,GLM_Gaussian,0.04640014499401217,0.054999855005987835,0.0489
130,0.0519,0.0022182513383293607,Log_LR,0.04755230726821668,0.05624769273178332,0.0498
130,0.0538,0.0022562260525044917,LR,0.04937787819611022,0.05822212180388978,0.0522
130,0.0514,0.002208122279222779,OLR,0.04707215985926286,0.055727840140737145,0.0514
135,0.0463,0.00210134028657902,GLM_Gamma,0.042181448719042045,0.05041855128095796,0.0444
135,0.0443,0.0020576080773558407,GLM_Gaussian,0.04026716227408385,0.04833283772591615,0.0425
135,0.048400000000000006,0.002146099718093267,Log_LR,0.044193721845305636,0.052606278154694375,0.0467
135,0.0475,0.0021270578271405786,LR,0.04333104326577045,0.051668956734229554,0.0458
135,0.0465,0.0021056531053333548,OLR,0.0423729957496117,0.0506270042503883,0.0465
140,0.050300000000000004,0.002185632860294702,GLM_Gamma,0.04601623831039513,0.05458376168960488,0.0485
140,0.0478,0.0021334282270561626,GLM_Gaussian,0.04361855751136878,0.05198144248863122,0.0464
140,0.0512,0.002204054445788488,Log_LR,0.04688013266628918,0.05551986733371082,0.0496
140,0.0509,0.0021979351673786923,LR,0.04659212623158375,0.05520787376841625,0.0489
140,0.0509,0.0021979351673786923,OLR,0.04659212623158375,0.05520787376841625,0.0509
145,0.0492,0.0021628536705010815,GLM_Gamma,0.04496088470198762,0.05343911529801238,0.0469
145,0.048100000000000004,0.0021397754555092926,GLM_Gaussian,0.043906117172199,0.05229388282780101,0.0453
145,0.053700000000000005,0.0022542473244965824,Log_LR,0.04928175643174093,0.05811824356825908,0.0517
145,0.05,0.0021794494717703367,LR,0.0457283575292053,0.054271642470794704,0.0479
145,0.05,0.0021794494717703367,OLR,0.0457283575292053,0.054271642470794704,0.05
150,0.052700000000000004,0.0022343390521583784,GLM_Gamma,0.048320775928518224,0.057079224071481784,0.0498
150,0.0492,0.0021628536705010815,GLM_Gaussian,0.04496088470198762,0.05343911529801238,0.0469
150,0.0517,0.002214206629924136,Log_LR,0.04736023475101889,0.05603976524898112,0.0504
150,0.0526,0.0022323359962156237,LR,0.048224701846025037,0.056975298153974965,0.0506
150,0.054700000000000006,0.002273937334228892,OLR,0.05024316472181036,0.05915683527818965,0.0547
155,0.049800000000000004,0.00217531514958178,GLM_Gamma,0.045536460651795355,0.05406353934820465,0.0478
155,0.0475,0.0021270578271405786,GLM_Gaussian,0.04333104326577045,0.051668956734229554,0.0461
155,0.0485,0.0021482027371735658,Log_LR,0.04428960000364945,0.052710399996350556,0.0466
155,0.049800000000000004,0.00217531514958178,LR,0.045536460651795355,0.05406353934820465,0.0477
155,0.050300000000000004,0.002185632860294702,OLR,0.04601623831039513,0.05458376168960488,0.0503
160,0.047,0.002116388433156825,GLM_Gamma,0.04285195489371547,0.05114804510628453,0.0448
160,0.044500000000000005,0.0020620317650317612,GLM_Gaussian,0.0404584920055602,0.04854150799443981,0.0428
160,0.0522,0.0022243012385915716,Log_LR,0.04784044968159269,0.056559550318407315,0.0512
160,0.046900000000000004,0.002114246674349992,LR,0.04275615266384044,0.05104384733615957,0.0449
